run_id	comp_W_input_um	comp_L_input_um	cdac_C_unit_fF	bias_V	status	ENOB	SNDR_dBc	SFDR_dBc	THD_dBc	unique_codes	code_span	runtime_s	error
run_01	8.000	0.150	20.000	0.500	OK	5.6371	35.70	42.90	-46.94	99	853	74.08	
run_02	8.000	0.200	50.000	0.600	OK	4.4625	28.62	33.85	-38.27	97	853	74.55	
run_03	8.000	0.500	150.000	0.900	OK	0.0000	-inf	nan	inf	1	0	35.21	
run_04	32.000	0.150	50.000	0.900	OK	0.0000	-inf	nan	inf	1	0	34.68	
run_05	32.000	0.200	150.000	0.500	OK	3.9202	25.36	31.05	-28.30	76	767	76.83	
run_06	32.000	0.500	20.000	0.600	OK	5.5968	35.45	43.16	-46.02	107	855	78.66	
run_07	50.000	0.150	150.000	0.600	OK	3.9202	25.36	31.05	-28.30	76	767	79.28	
run_08	50.000	0.200	20.000	0.900	OK	0.0000	-inf	nan	inf	1	0	33.63	
run_09	50.000	0.500	50.000	0.500	OK	4.4453	28.52	33.84	-38.13	98	855	77.47	
run_10	8.000	0.150	20.000	0.500	OK	5.6371	35.70	42.90	-46.94	99	853	70.91	
run_11	50.000	0.500	150.000	0.900	OK	0.0000	-inf	nan	inf	1	0	32.26	
run_12	32.000	0.200	50.000	0.600	OK	4.4540	28.57	33.89	-38.15	99	855	77.43	
